Operation,Time, Argument1, Argument2, Argument3
checksumPOSIX,0.020598,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019942,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019978,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019935,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019877,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019847,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019847,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019910,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019933,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019814,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019781,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.021799,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019707,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019780,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumPOSIX,0.019832,/mnt/Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
Operation,Time, Argument1, Argument2, Argument3
checksumS3,0.387410,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.379130,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.404576,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.388145,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.439402,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.470830,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.447913,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.414032,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.468029,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.462939,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
