Operation,Time, Argument1, Argument2, Argument3
checksumS3,0.387410,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.379130,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.404576,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.388145,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.439402,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.470830,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.447913,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.414032,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.468029,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.462939,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.481921,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.467111,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.338494,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.405142,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
checksumS3,0.398352,Benchfiles/Data/HDF5/ap_one_node_capture.hdf5,None,None
