Operation,Time, Argument1, Argument2, Argument3
readS3,0.631439,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.672745,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.605714,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.580160,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.626887,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.631251,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.602732,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.571551,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.604553,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.615068,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.640300,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.579339,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.622829,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.658101,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
readS3,0.623670,Benchfiles/Data/HDF5/ap_two_node_two_flow_capture.hdf5,None,None
