Operation,Time, Argument1, Argument2, Argument3
checksumPOSIX,0.001914,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001848,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001935,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001862,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001846,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001822,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001853,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001835,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001864,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001829,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001852,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001835,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001825,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001877,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
checksumPOSIX,0.001830,/mnt/Benchfiles/Data/MP4/SampleVideo_1280x720_1mb.mp4,None,None
