Operation,Time, Argument1, Argument2, Argument3
readPOSIX,0.001423,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000933,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000941,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000955,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.001171,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.001278,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000960,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000926,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000956,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000980,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.001264,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000943,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000976,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.000953,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
readPOSIX,0.001184,/mnt/Benchfiles/Data/NetCDF/test_echam_spectral.nc,None,None
