Operation,Time, Argument1, Argument2, Argument3
seekPOSIX,0.000030,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000028,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000029,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000029,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000030,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000028,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000029,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000028,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000029,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000029,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000029,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000028,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000028,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000029,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
seekPOSIX,0.000030,/mnt/Benchfiles/Data/FASTA/hg19.fa.gz,None,None
